wave,I
0.61015,1.0641023
0.610446,1.0725365
0.610742,1.0703758
0.611038,1.0990292
0.611334,1.0704802
0.61163,1.0817119
0.611926,1.0559603
0.612222,1.0548225
0.612518,1.0500731
0.612814,1.0424478
0.61311,1.0684447
0.613406,1.0826514
0.613702,1.076785
0.613998,1.0976305
0.614294,1.0192714
0.61459,1.0617328
0.614886,1.0458351
0.615182,1.0867432
0.615478,1.0493946
0.615774,1.0293539
0.61607,1.0725992
0.616366,1.0305501
0.616662,1.0609186
0.616958,1.0432933
0.617254,1.044499
0.61755,1.0485386
0.617846,1.0465762
0.618142,1.0563361
0.618438,1.0795094
0.618734,1.0410376
0.61903,1.0368518
0.619326,1.0660543
0.619622,1.0847495
0.619918,1.0338392
0.620214,1.0202307
0.62051,1.0833143
0.620806,1.0471503
0.621102,1.0616293
0.621398,1.0327944
0.621694,1.0896138
0.62199,1.0448956
0.622286,1.0817015
0.622582,1.0299916
0.622878,1.0350699
0.623174,1.0578497
0.62347,1.0633507
0.623766,1.0524113
0.624062,1.0775992
0.624358,1.1131315
0.624654,1.0715553
0.62495,1.0583507
0.625246,1.0493737
0.625542,1.0536117
0.625838,1.0664405
0.626134,1.050428
0.62643,1.0562735
0.626726,1.0668372
0.627022,1.0466195
0.627318,1.0789457
0.627614,1.0380425
0.62791,1.0713048
0.628206,1.1081315
0.628502,1.0611273
0.628798,1.1043111
0.629094,1.1067641
0.62939,1.1075574
0.629686,1.1193737
0.629982,1.1158664
0.630278,1.0766391
0.630574,1.0702064
0.63087,1.0998017
0.631166,1.107286
0.631462,1.119666
0.631758,1.0774113
0.632054,1.1122651
0.63235,1.1129749
0.632646,1.0583403
0.632942,1.0776722
0.633238,1.1276722
0.633534,1.1070355
0.63383,1.1178914
0.634126,1.1060752
0.634422,1.06381
0.634718,1.1003653
0.635014,1.1080167
0.63531,1.1027766
0.635606,1.1152358
0.635902,1.1124739
0.636198,1.0715449
0.636494,1.0703132
0.63679,1.0657829
0.637086,1.0652192
0.637382,1.046023
0.637678,1.0918789
0.637974,1.0784969
0.63827,1.0781733
0.638566,1.073142
0.638862,1.0850939
0.639158,1.1071608
0.639454,1.0692589
0.63975,1.0561065
0.640046,1.0934134
0.640342,1.082453
0.640638,1.0585491
0.640934,1.0837161
0.64123,1.0851044
0.641526,1.1095511
0.641822,1.0723506
0.642118,1.0864823
